mercury,2439.7,57909227,330104000000000000000000
venus,6051.8,108209475,4867320000000000000000000
earth,6371,149598262,5972190000000000000000000
mars,3389.5,227943824,641693000000000000000000
jupiter,69911,778340821,1898130000000000000000000000
saturn,58232,1426666422,568319000000000000000000000
uranus,25362,2870658186,86810300000000000000000000
neptune,24622,4498396441,102410000000000000000000000
